ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
0.8183,-33.8012,SER,-99,0.6372,21.3566,19.6573,18.2046,Jacobs et al.2019
2.5204,-35.7296,REX,-99,0.4768,20.6988,19.7377,18.8942,Huang et al. 2021
2.7167,18.5282,SER,-99,0.5792,21.9672,20.4868,19.3202,Huang et al. 2021
3.2902,0.6676,REX,0.693,0.8054,21.2532,20.5728,19.4516,SuGOHI10 DES
3.9776,-63.7715,SER,-99,0.6492,21.0612,19.4847,18.0304,Jacobs et al.2019
4.0093,-13.4169,SER,-99,0.4847,21.0617,19.234,18.1507,Huang et al. 2021
4.093,-9.1126,SER,-99,0.4431,22.0815,20.2312,19.2119,Huang et al. 2021
5.2593,-26.5437,SER,-99,0.6802,23.1742,21.2171,19.6723,Huang et al. 2021
5.6187,1.8037,DEV,-99,0.7422,20.7925,19.9967,18.4965,Huang et al. 2020
7.6017,-4.4479,DEV,0.7898,0.7751,22.6026,20.844,19.0166,Storfer et al. 2022
7.832,-64.3438,DEV,-99,0.7953,22.1582,20.8084,19.2207,Jacobs et al.2019
8.0136,7.6678,SER,0.6437,0.649,20.848,19.2269,17.7199,Huang et al. 2021
8.4195,-46.5522,REX,-99,0.4674,20.9275,20.5061,19.8957,Storfer et al. 2022
9.6226,-36.7634,REX,-99,0.7512,21.2158,20.35,19.3119,Huang et al. 2021
9.6926,-29.6019,DEV,-99,0.8287,23.0587,21.332,19.3494,Jacobs et al.2019
10.2876,-0.7303,DEV,0.5637,0.5772,21.1408,19.5168,18.2656,Huang et al. 2020
10.5692,-5.5844,DEV,-99,0.8997,21.9745,21.1223,19.2708,Huang et al. 2021
11.0219,-4.8058,SER,0.7724,0.7711,22.8481,20.915,19.0569,Huang et al. 2020
12.6879,5.1953,SER,-99,0.3991,20.0586,18.4351,17.5036,Huang et al. 2021
12.7302,-17.3424,REX,-99,0.7519,21.7451,20.5652,19.1433,Huang et al. 2021
12.9008,-9.3904,DEV,-99,0.7134,22.3069,20.3294,18.6325,Huang et al. 2021
13.9873,-0.6495,SER,0.5664,0.5847,20.7991,19.2761,18.0455,Huang et al. 2020
14.4037,-48.804,SER,-99,0.4101,21.0407,19.3471,18.4113,Diehl et al. 2017
14.6447,-52.0332,SER,-99,0.6292,21.7164,19.9946,18.6014,Jacobs et al.2019
14.6685,5.7665,SER,-99,0.6949,22.6476,20.7257,19.1113,Huang et al. 2021
14.9575,-5.5838,DEV,-99,0.5623,21.699,20.1689,18.9251,Huang et al. 2021
15.6786,-23.9439,DEV,-99,0.7084,22.7324,20.7854,19.1504,Huang et al. 2021
15.844,-18.3629,DEV,-99,0.3535,20.389,18.6985,17.8133,Huang et al. 2021
16.13,-19.8697,SER,-99,0.4296,21.2695,19.4717,18.5214,Huang et al. 2021
16.7413,-15.6928,DEV,-99,0.6292,21.0212,19.6697,18.4461,Jacobs et al.2019
16.7464,-44.5337,SER,-99,0.6501,21.2377,19.8988,18.6474,Jacobs et al.2019
16.7705,-31.478,SER,-99,0.7743,22.3043,20.3895,18.562,Huang et al. 2021
16.8009,-16.858,SER,-99,0.3709,20.8842,19.355,18.4775,Huang et al. 2020
19.4949,-5.455,SER,0.5797,0.5573,21.246,19.609,18.313,Huang et al. 2020
20.7598,-13.2227,DEV,-99,0.7199,22.6151,20.9468,19.3414,Huang et al. 2020
20.796,30.9619,DEV,0.619,0.6301,21.6029,19.9068,18.4596,Huang et al. 2021
21.2646,-36.7664,DEV,-99,0.7015,22.5259,20.5687,18.9375,Jacobs et al.2019
21.514,-10.3682,SER,-99,0.2085,19.5349,18.2877,17.5501,Huang et al. 2021
22.3389,0.6547,SER,-99,0.7365,23.2099,21.523,19.9277,Huang et al. 2020
22.5121,-37.7494,SER,-99,0.6036,20.7228,18.8097,17.3679,Storfer et al. 2022
22.6104,-15.337,SER,-99,0.585,21.1984,19.4346,18.1191,Huang et al. 2020
23.9283,-20.5599,DEV,-99,0.6111,20.7587,19.0571,17.6701,Jacobs et al.2019
24.1759,-12.2872,SER,-99,0.4479,20.9158,19.1762,18.1768,Huang et al. 2021
24.4002,-27.1526,SER,-99,0.267,20.2306,18.9796,18.2724,Huang et al. 2021
25.2755,-17.2232,DEV,-99,0.6155,21.4449,19.7466,18.3516,Huang et al. 2020
25.8361,-10.068,SER,0.2422,0.2072,19.6498,18.4911,17.7896,Huang et al. 2020
25.9952,12.937,SER,-99,0.46,20.5885,18.6722,17.5938,Huang et al. 2021
26.139,-11.7026,DEV,-99,0.6669,22.8435,21.1205,19.6695,Huang et al. 2020
26.4848,4.0413,SER,-99,0.78,22.3402,20.655,18.8722,Huang et al. 2020
26.7334,-9.4979,SER,0.4469,0.439,19.2332,17.3653,16.3471,The Master Lens Database
28.7845,-25.8463,SER,-99,0.5432,21.5255,19.6327,18.3856,Huang et al. 2021
29.04,-10.4926,SER,-99,0.6603,21.9971,20.5119,19.1518,Huang et al. 2020
29.3812,-3.516,DEV,0.6212,0.7325,22.0546,20.8865,19.5385,SuGOHI1 SuGOHI10 HOLISMOKES8 HOLISMOKES6+13
29.4599,-0.6385,DEV,0.5197,0.5294,20.871,19.4447,18.4012,SuGOHI2
29.5569,-11.2721,DEV,-99,0.4203,21.6077,19.8512,19.0054,Huang et al. 2021
29.9198,-24.0197,REX,-99,0.7874,20.9223,20.2367,19.0517,Jacobs et al.2019
30.1018,-10.7692,SER,-99,0.2304,19.3952,18.2328,17.505,Huang et al. 2021
30.3565,-42.609,SER,-99,0.6877,22.6216,20.7826,19.2309,Jacobs et al.2019
30.436,-27.6618,SER,-99,0.8232,22.3787,21.2576,19.532,Huang et al. 2021
31.3208,-1.389,REX,-99,0.6892,20.9745,20.1736,19.0387,Jacobs et al.2019
31.5562,-1.2382,SER,-99,0.7747,20.7049,19.9877,18.7925,Storfer et al. 2022
31.6715,-2.0052,DEV,-99,0.6888,20.3797,19.635,18.3423,Huang et al. 2021
31.7778,-27.4457,SER,-99,0.3346,18.6588,17.0594,16.1738,Huang et al. 2021
32.9976,-59.9403,SER,-99,0.2064,18.9872,17.914,17.1955,Stein et al.2022
33.1051,-8.8697,DEV,0.7593,0.7283,21.7318,20.2822,18.6396,Jacobs et al.2019
33.513,-13.2876,SER,-99,0.6683,21.8685,20.1947,18.7282,Jacobs et al.2019
34.8554,5.6438,DEV,-99,0.8184,22.5664,21.293,19.2969,Huang et al. 2021
35.1796,-10.8712,SER,-99,0.681,21.6907,20.3221,18.8002,The Master Lens Database
35.5497,-50.5232,DEV,-99,0.6487,22.3381,20.6012,19.2138,Diehl et al. 2017
35.5934,-2.3698,DEV,-99,0.8641,22.7116,21.645,19.5683,Storfer et al. 2022
36.0677,-16.3767,DEV,-99,0.6368,21.5461,19.8956,18.4693,Huang et al. 2020
36.3834,-4.85,REX,-99,0.6495,20.9859,19.9605,19.0247,Huang et al. 2021
37.0378,-12.8812,SER,-99,0.4634,20.7836,19.4356,18.3543,Huang et al. 2020
37.2442,-17.2723,REX,-99,0.8362,21.3822,20.682,19.3996,Huang et al. 2021
37.4837,-31.173,DEV,-99,0.4548,22.2708,20.5121,19.4136,Huang et al. 2021
37.5699,-31.3669,SER,-99,0.553,21.1036,19.772,18.7279,Jacobs et al.2019
38.0264,-35.4899,REX,-99,0.6103,21.2899,19.9882,18.8997,Huang et al. 2021
38.2078,-3.3906,SER,-99,0.4286,19.9022,18.1271,17.1454,Huang et al. 2020
39.3638,-9.219,DEV,-99,0.9133,22.2598,21.011,19.2231,Jacobs et al.2019
39.4391,-18.0172,REX,-99,0.7631,21.2418,20.5868,19.5563,Jacobs et al.2019
39.9261,-1.4632,SER,-99,0.2921,19.719,18.5193,17.7063,Huang et al. 2020
